game_name,iframe_url
"Geometry Dash World (Peppa Pig)","<iframe src='https://scratch.mit.edu/projects/421250443/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World Toxic Factory","<iframe src='https://scratch.mit.edu/projects/339167615/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World","<iframe src='https://scratch.mit.edu/projects/1040950208/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World Toxic Factory Space Pirates","<iframe src='https://scratch.mit.edu/projects/351845584/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World Dashlands Years","<iframe src='https://scratch.mit.edu/projects/351768518/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World Dashlands Payload","<iframe src='https://scratch.mit.edu/projects/351708778/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World remix","<iframe src='https://scratch.mit.edu/projects/428351260/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World 1","<iframe src='https://scratch.mit.edu/projects/474070806/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World Toxic Factory 1","<iframe src='https://scratch.mit.edu/projects/224236914/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
"Geometry Dash World Dasher","<iframe src='https://scratch.mit.edu/projects/605770209/embed' allowtransparency='true' width='485' height='402' frameborder='0' scrolling='no' allowfullscreen></iframe>"
